file_name,file_id,502_error
al_lihtc,1634151296-824826,
bucks_county_pa_polling_places,1634151463-278735,
miami_dade_county_fl_playgrounds,1634151603-211859,
minneapolis_bikes,1634153008-414873,
new_orleans_311,1634153502-993203,
new_york_wifi,1634153599-527906,
us_alt_fuel_stations,1634156102-609030,1
us_library_outlets,1634156158-233252,1
wa_mental_health,1634155998-414971,
